Document Date,Purchase Order No,Line Item No,Supplier ID,Supplier Name,Pro Class,Pro Class Description,"Description of Goods 
(Purpose of expenditure look up)","Service/Department 
(SAP Hierarchy Position)","Expense Area 
(cost centre desc)","Net Order Value Over £5000.00 
(line item value shown here)",GL Code,Cost Centre/WBS,,,,
19/09/2018,ZES296997,3,2927,XMA Ltd,171113,Education Library Books ,Library Equipment,Corporate and Support Services,POD Core Staffing,45.50,400201,12590,,,,
19/09/2018,ZES296997,4,2927,XMA Ltd,171113,Education Library Books ,Library Equipment,Corporate and Support Services,POD Core Staffing,"1,009.58",400201,12590,,,,
19/09/2018,ZES296997,5,2927,XMA Ltd,171113,Education Library Books ,Library Equipment,Corporate and Support Services,POD Core Staffing,53.20,400201,12590,,,,
19/09/2018,ZES296999,1,2927,XMA Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,POD Core Staffing,"6,258.98",402001,12590,,,,
19/09/2018,ZES296999,2,2927,XMA Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,POD Core Staffing,45.50,402001,12590,,,,
19/09/2018,ZES296999,3,2927,XMA Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,POD Core Staffing,45.50,402001,12590,,,,
19/09/2018,ZES296999,4,2927,XMA Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,POD Core Staffing,"1,009.58",402001,12590,,,,
21/09/2018,ZES297119,1,12608,Liquidlogic Limited,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT Liquid Logic Project,"12,471.84",402001,12958,,,,
21/09/2018,ZES297101,1,6194,ESTEEM SYSTEMS LTD,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT Trade (Stockport Homes),"10,658.00",402004,12106,,,,
21/09/2018,ZES297101,2,6194,ESTEEM SYSTEMS LTD,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT Trade (Stockport Homes),"3,836.00",402004,12106,,,,
21/09/2018,ZES297101,3,6194,ESTEEM SYSTEMS LTD,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT Trade (Stockport Homes),"2,182.00",402004,12106,,,,
21/09/2018,ZES297101,4,6194,ESTEEM SYSTEMS LTD,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT Trade (Stockport Homes),"24,565.00",402004,12106,,,,
21/09/2018,ZES297101,5,6194,ESTEEM SYSTEMS LTD,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT Trade (Stockport Homes),"7,784.00",402004,12106,,,,
21/09/2018,ZES297101,6,6194,ESTEEM SYSTEMS LTD,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT Trade (Stockport Homes),250.00,402004,12106,,,,
21/09/2018,ZES297101,7,6194,ESTEEM SYSTEMS LTD,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT Trade (Stockport Homes),"11,635.00",402004,12106,,,,
24/09/2018,ZES297211,1,13155,Trace Solutions,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,SPB- Property Client Account,"21,575.00",402001,11137,,,,
24/09/2018,ZES297210,1,10499,Gravitas Recruitment Group Lim,261400,Human Resources Temporary & Agency Staff ,Agency Staff,Corporate and Support Services,T ASC Software Replacement,"40,000.00",100290,12958,,,,
